MP RP,IFPA RP,IPR,Name,Team,Role,IFPA ID,IFPA Rank,MP LB,MP RD,MPR
2,1,2,Corey Klier,SSS,P,56657,19906,1259,40,1339
3,3,3,Cory Moormeier,,,15562,2386,1391,50,1491
2,1,2,Craig Cainkar,,,58391,6388,1336,73,1482
4,4,4,Craig R Jones,,,34433,824,1489,59,1607
1,1,1,Croix Frigo,DIH,P,,,1244,62,1368
1,1,1,Dan Atchison,CHS,P,,,,,
3,1,3,Dan Crowdus,,,41196,7314,1386,61,1507
4,4,4,Dan Danger,PBR,P,15561,797,1481,45,1572
2,3,3,Dan Mclane,,,41600,2469,1272,73,1418
3,1,3,Danae Hackett,,,36832,16311,1371,48,1466
1,1,1,Dane Hjeresen,,,,,,,
1,1,1,Daniel Marino,ALU,P,,,,,
1,3,3,Daniel Miller WA,,,30016,1609,1250,125,1500
3,2,3,Daniel Reddin,DIH,A,39585,4534,1353,65,1484
4,3,4,Daniel Salo,JMF,A,17535,2016,1458,40,1538
2,1,2,Daniel Scott Clark,,,37391,10782,1322,53,1427
3,2,3,Danielle Crowson,SCN,P,31959,3044,1383,48,1480
2,1,2,Danielle Wilcox,,,51575,12520,1309,66,1441
5,1,5,Danny Rashid,SJK,P,20712,11839,1564,54,1672
5,4,5,Darin Lange,,,41585,998,1519,39,1597
1,1,1,Darryl Tillman,,,,,1197,116,1429
1,1,1,Dave Kane,RMS,P,,,,,
1,1,1,Dave Mealy,,,,,1195,120,1435
6,6,6,Dave Stewart,DSV,P,54,33,1683,31,1744
1,1,1,David Donner,,,40425,12928,1157,60,1277
2,2,2,David Griffin,CRA,A,41500,3946,1283,48,1379
3,3,3,David Latimer,,,12001,2448,1371,80,1531
2,1,2,David Palen,SCN,P,,,1267,63,1393
4,3,4,David Rauschenberg,,,23614,1469,1447,53,1552
1,1,1,Deborah Torrison,ALU,P,,,,,
2,3,3,Dennis Ayres,,,24659,1789,1304,96,1496
1,1,1,Derek Lee,,,39967,31730,1245,104,1452
4,2,4,Dickie Hornaman,CRA,P,45375,2588,1455,41,1537
3,1,3,Diego Medrano,,,54256,12316,1370,104,1577
2,1,2,Dingo Freid,,,46367,5070,1284,56,1397
3,1,3,Dj Youngblood,CDC,P,,,1372,57,1486
2,1,2,Dominique Shadduck,KNR,P,47780,10212,1321,44,1409
1,1,1,Doug Turney,,,,,1154,114,1382
3,2,3,Dwayne Collins,DTP,A,33062,3955,1369,34,1437
6,4,6,Elijah Nelson,SSS,P,3276,810,1624,35,1694
2,1,2,Elliott Johnson,CRA,P,,,1326,44,1414
2,1,2,Emerson Gelb,HHS,P,57266,14772,1279,57,1393
2,1,2,Emily Beirne,FRZ,P,50126,13579,1322,46,1414
3,1,3,Emily Gibian,,,54257,7247,1405,46,1498
1,1,1,Emily Tower,,,49472,14607,1254,66,1387
3,2,3,Emma Frost,,,44906,4700,1381,44,1470
1,1,1,Emma Hellthaler,,,,,1153,105,1363
5,4,5,Eric Csakany,CRA,C,32895,968,1571,42,1655
1,1,1,Eric Dushoff,,,24748,11631,1039,93,1224
1,1,1,Eric Garrison,,,,,,,
6,4,6,Eric Morales,,,23997,840,1605,45,1695
5,4,5,Erik Gust,TWC,P,3287,639,1580,51,1682
2,2,2,Erin Shadensack,PGN,C,40652,4474,1344,49,1441
1,1,1,Ethan Johnson,,,41603,29227,1254,80,1413
3,1,3,Evan Adkins,,,34073,6320,1383,57,1496
3,2,3,Evan McBride,,,15560,2908,1403,82,1567
4,3,4,Eyehole Man,PGN,P,20094,1262,1451,37,1526
4,3,4,Fabian Benabente,SWL,P,52531,1594,1475,44,1563
