MP RP,IFPA RP,IPR,Name,Team,Role,IFPA ID,IFPA Rank,MP LB,MP RD,MPR
5,5,5,Travis Maisch,TWC,P,24525,387,1545,38,1620
2,2,2,Tressa Points,DTP,P,42481,3147,1257,52,1361
3,1,3,Trina Wheatley,,,57385,12667,1358,85,1528
2,1,2,Tristan Mott,,,51863,20105,1272,104,1480
2,1,2,Tristan Ward,,,,,1338,73,1484
1,1,1,Tyler Bentley Adams,,,,,,,
2,1,2,Tyler Dellinger,,,51278,16947,1286,108,1503
1,1,1,Tyler Esselstrom,,,51833,17624,1205,87,1378
1,1,1,Tyler Lingwall,,,26410,13425,1113,115,1344
3,1,3,Tyler Moore,HHS,P,34418,7686,1420,54,1528
3,2,3,Tyler Morgan,TBT,A,49667,4196,1366,43,1453
3,2,3,Umboon Moore,DSV,P,43204,3079,1443,37,1518
2,1,2,Vanessa Ish,,,52614,,1279,73,1424
1,1,1,Vic Pitre,,,,,1137,96,1329
5,3,5,Vincent Sperrazza,,,47285,1100,1592,33,1657
1,1,1,Whitney Davis,,,,,1256,112,1480
3,1,3,Whitney Zissou,SSS,P,33174,5909,1417,40,1497
2,2,2,Will Kirkland,,,41038,4267,1337,63,1464
1,1,1,Will Shull,ALU,P,,,,,
3,3,3,William Gordon,,,37360,1500,1387,45,1476
3,3,3,William Scott Jordan,,,34108,1334,1366,46,1457
4,3,4,Zac Petersen,DSV,C,17127,1147,1485,35,1556
2,3,3,Zach Amador,,,35080,1393,1317,67,1450
1,1,1,Zak Geier,ALU,A,,,,,
