Player Name,IFPA,MPID
Cameron Austgen,20057,9512
Cameron Dean,,
Cameron Fraser,,
Cameron Jiles,109018,
Cameron Maples,64860,17943
Cameron Pizzo,,
Camille Funk,108710,
Camille Laframboise,112000,26800
Cammila Koch,,
Campbell Hancock,87354,20675
Candace Fields,52422,7423
Candice McGinnis,76185,
Canyon Mosely,85191,37860
Cara Ottmar,,
Carissa Overstreet,83399,
Carl Davis,58241,
Carrie Harjo,105033,
Carrie May,49430,7065
Carrie Wilson,63062,7337
Carter Gyasi,,
Casey Benton,68118,17404
Casey Ellis,,
Casey Garcia,94654,
Casey Jones,44388,3650
Casey Keeler,,
Casey Nolan,40844,
Cassandra Dymock,37721,
Cassidy Kirkland,,
Cassie Medici,75151,21283
Cat Alexander,96295,25327
Cat Morris,62470,
Catharine Robinweller,83778,
Cathy Gilbert,,
Catrina Wold,142622,
Cayle George,615,6692
Celeste Corvus,107808,
Chad Adams WA,80751,14291
Challisa Parisi,17630,
Chandler Sapp,,
Charles Olson,44707,14166
Charlie Burg,88610,21436
Charlie Savage,,
Chase Culver,,
Chase Engdall,114260,35299
Chase Martin,26267,28335
Chase Tommy,,
Chaynee Young,83097,20026
Chaz Simmons,98911,
Chelsea Gabzdyl,,
Chelsea Rakonza,43771,25371
Chelsey Oedewaldt,27507,
Chelsie Hulka,27493,7066
Chico Santana,,
Chistopher Noer,,
Chloe LeGrow,97310,28186
Chris Aquino,56604,
Chris Arzaga,,
Chris Borgstadt,65871,8556
Chris Bronson,25523,19716
Chris Calloway,,
Chris Chinn,29083,931
Chris Cremer,137665,46540
Chris Harrington,47239,18879
Chris Kimbrough,38327,
Chris Miles,54195,
Chris Morris-lent,41612,
Chris Mullen,66275,18261
Chris Nissen,,
Chris Noerr,,
Chris Page,35480,
Chris Shea,,
Chris Tinney,45438,6553
Chris Vela,66401,19717
Christel Macabeo,21539,
Christian Ines,,
Christine Gent,50036,
Christopher Daniels,95948,16678
Christopher Davis,118314,42577
Christopher Lanphear,109603,
Christopher Sadowski,59949,
Chryste Ferrara,80076,14647
CJ Frederick,,
CJ Holmes,,
CJ Watson,,
Claire Burke,33169,7379
Clare Green,64150,22703
Clay Shelton,97540,22613
Clay Vondra,78634,14710
Clayton Baber,83021,
Clayton Brumbaugh,,
Clayton Coffman,83361,20774
Clayton Malcom,,
Clayton Michael,50374,
Clayton Stetz,27503,2289
Clinton Peterson,49082,3788
Coby Gaurin,,41220
Cody Jones,,32774
Coleman stoll,,
Colin Avrech,50373,
Colin Clark,,
Colin Curfman,138959,
Colin Haney,78983,19986
